abort: 7X
jungle: 2K
kit: 8L
knife: 7M
lake: 1N
landing: 3O
landmark: 6P
landslide: 4Q
lead: 5R
left: 0S
lieutenant: 9T
lifeboat: 2U
lifeline: 8V
lightning: 7W
line: 1X
load: 3Y
locate: 6Z
logistics: 4A
low: 5B
map: 0C
marine: 9D
mark: 2E
marksman: 8F
mask: 7G
medic: 1H
medical: 3I
medicine: 6J
mine: 4K
mist: 5L
monitor: 0M
monsoon: 9N
motion: 2O
mountain: 8P
move: 7Q
mutual: 1R
navy: 3S
near: 6T
neutral: 4U
night: 5V
north: 0W
notify: 9X
nurse: 2Y
observation: 8Z
ocean: 7A
operator: 1B
outpost: 3C
outside: 6D
overcast: 4E
overpass: 5F
override: 0G
pack: 9H
pain: 2I
painkiller: 8J
pandemic: 7K
paramedic: 1L
path: 3M
patrol: 6N
perimeter: 4O
pickup: 5P
pilot: 0Q
pipeline: 9R
plague: 2S
platoon: 8T
point: 7U
pond: 1V
port: 3W
position: 6X
pouch: 4Y
power: 5Z
precipitation: 0A
prepare: 9B
pressure: 2C
proceed: 8D
quarantine: 7E
radar: 1F
radio: 3G
raft: 6H
railroad: 4I
rain: 5J
ready: 0K
rear: 9L
rebuild: 2M
recon: 8N
recovery: 7O
refugee: 1P
refuse: 3Q
regroup: 6R
reinforce: 4S
reinforcement: 5T
relief: 0U
relocate: 9V
remote: 2W
rendezvous: 8X
repair: 7Y
rescue: 1Z
resource: 3A
respond: 6B
responder: 4C
retreat: 5D
right: 0E
river: 9F
road: 2G
rope: 8H
route: 7I
router: 1J
routine: 3K
run: 6L
runway: 4M
safe: 5N
safehouse: 0O
sandstorm: 9P
sanitize: 2Q
satellite: 8R
savanna: 7S
scout: 1T
search: 3U
secure: 6V
sensor: 4W
sentry: 5X
sergeant: 0Y
server: 9Z
shelter: 2A
shipment: 8B
shock: 7C
shovel: 1D
signal: 3E
situation: 6F
sky: 4G
sleet: 5H
smog: 0I
sniper: 9J
snow: 2K
solar: 8L
soldier: 7M
sonar: 1N
south: 3O
special: 6P
split: 4Q
squad: 5R
squadron: 0S
stabilize: 9T
standby: 2U
station: 8V
stealth: 7W
sterilize: 1X
stop: 3Y
storage: 6Z
storm: 4A
stream: 5B
street: 0C
summit: 9D
supplies: 2E
support: 8F
surgical: 7G
surveillance: 1H
survival: 3I
sustainable: 6J
switch: 4K
tactical: 5L
target: 0M
team: 9N
technician: 2O
temperature: 8P
tent: 7Q
thermal: 1R
threat: 3S
thunder: 6T
tool: 4U
tracking: 5V
trail: 0W
trajectory: 9X
transport: 2Y
trap: 8Z
trapped: 7A
tremor: 1B
triage: 3C
tsunami: 6D
tundra: 4E
tunnel: 5F
unarmed: 0G
up: 9H
urban: 2I
urgent: 8J
valley: 7K
vehicle: 1L
verify: 3M
vest: 6N
virus: 4O
visible: 5P
volcano: 0Q
vortex: 9R
wait: 2S
walk: 8T
warehouse: 7U
warning: 1V
water: 3W
waypoint: 6X
weapon: 4Y
weather: 5Z
west: 0A
wetland: 9B
whirlwind: 2C
whiteout: 8D
wildfire: 7E
wildlife: 1F
wind: 3G
wound: 6H
zone: 5J
